Note,Dice score (non cancer),Dice score (cancer),voxel FP rate,voxel FN rate,block FN rate
,0.9965,0.8878,0.0025,0.1498,0.0859
,0.9969,0.9004,0.0024,0.1278,0.0662
,0.9968,0.8967,0.0025,0.1376,0.0696
,0.9966,0.8946,0.0028,0.1286,0.0659
,0.9964,0.8978,0.0025,0.1347,0.0586
,0.9965,0.8827,0.003,0.1517,0.0649
,0.9965,0.8923,0.0032,0.1238,0.067
,0.9965,0.8994,0.0025,0.1348,0.0679
,0.9969,0.8953,0.0024,0.1392,0.0797
,0.9965,0.8899,0.0024,0.1474,0.0737
,0.9967,0.8909,0.0028,0.1319,0.0551
,0.9966,0.8745,0.0024,0.1703,0.0649
,0.9967,0.8797,0.0022,0.1632,0.0676
,0.9965,0.8867,0.0026,0.1457,0.0669
,0.9968,0.9049,0.0023,0.1302,0.0721
,0.9962,0.8846,0.003,0.142,0.0556
,0.9966,0.8902,0.0031,0.1332,0.0552
,0.9966,0.8922,0.0026,0.1414,0.0607
,0.9966,0.8982,0.0026,0.1368,0.0658
,0.9967,0.8821,0.0027,0.1524,0.0774
,0.9968,0.8932,0.0021,0.143,0.0769
,0.9962,0.8882,0.0027,0.147,0.0652
,0.9966,0.8754,0.0027,0.1596,0.0627
,0.9969,0.9032,0.0022,0.1296,0.0892
,0.997,0.8968,0.0018,0.147,0.0689
,0.9965,0.8958,0.0024,0.1428,0.0778
,0.9969,0.8855,0.002,0.1514,0.0658
,0.9966,0.8933,0.0023,0.1447,0.0764
,0.9966,0.8913,0.0022,0.1449,0.066
,0.9969,0.8974,0.0021,0.1424,0.0869
,0.9967,0.8745,0.0024,0.1651,0.0593
,0.9969,0.8931,0.002,0.1524,0.0813
,0.9964,0.8885,0.0028,0.1409,0.0703
,0.9967,0.878,0.0021,0.1689,0.0696
,0.9968,0.8898,0.002,0.1549,0.0803
,0.9965,0.8858,0.0025,0.1521,0.0816
,0.9966,0.8915,0.0021,0.1495,0.1076
,0.9968,0.8913,0.0027,0.1359,0.0682
,0.9963,0.8888,0.0029,0.1383,0.0778
,0.9967,0.8908,0.0024,0.1436,0.0666
,0.9965,0.875,0.0019,0.1809,0.072
,0.9965,0.8864,0.0026,0.1492,0.0762
,0.9968,0.9036,0.0028,0.121,0.0875
,0.9964,0.8908,0.0024,0.1508,0.0735
,0.9969,0.8974,0.0025,0.1317,0.0748
,0.9968,0.8877,0.0026,0.1393,0.0504
,0.9965,0.8867,0.0023,0.1567,0.0879
,0.997,0.9032,0.0024,0.1249,0.0863
,0.9965,0.8722,0.0028,0.1604,0.0726
,0.9968,0.8928,0.0022,0.1361,0.0745
AveraGE,0.996644,0.890178,0.002468,0.14455,0.071896
Std Deviation,0.0001960424777,0.008003399533,0.0003171557269,0.01266913734,0.01059774639
,,,,,
RESULT (reported),.9966 (0.0002),0.890 (0.008),0.25% (0.03%),14.5%  (1.3%),7.2% (1.1%)
